Standard Model;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3;G3
"Zeitpunkt in s";"Gesättigte Hauptfeldreaktanz, d-Achse in p.u.";"Gesättigte Hauptfeldreaktanz, q-Achse in p.u.";"xl in p.u.";"rstr in p.u.";"xrld in p.u.";"xrlq in p.u.";"Subtransiente Reaktanz, d-Achse in p.u.";"Subtransiente Reaktanz, q-Achse in p.u.";"xd' in p.u.";"xq' in p.u.";"Synchrone Reaktanz, d-Achse in p.u.";"Synchrone Reaktanz, q-Achse in p.u.";"Reaktanz der Erregerwicklung in p.u.";"Reaktanz der 1d-Dämpferwicklung in p.u.";"Reaktanz der 1q-Dämpferwicklung in p.u.";"Reaktanz der 2q-Dämpferwicklung in p.u.";"Widerstand der Erregerwicklung in p.u.";"Widerstand der 1d-Dämpferwicklung in p.u.";"Widerstand der 1q-Dämpferwicklung in p.u.";"Widerstand der 2q-Dämpferwicklung in p.u.";"Mechanisches Moment in p.u.";"Elektrisches Moment in p.u.";"Ständerstrom, d-Achse in p.u.";"Ständerstrom, q-Achse in p.u.";"Strom in Erregerwicklung in p.u.";"Strom in 1d-Dämpferwicklung in p.u.";"Strom in 1q-Dämpferwicklung in p.u.";"Strom in 2q-Dämpferwicklung in p.u.";"Ständerfluss, d-Achse";"Ständerfluss, q-Achse in p.u.";"Subtransienter Fluss, d-Achse in p.u.";"Subtransienter Fluss, q-Achse in p.u.";"Fluss in Erregerwicklung in p.u.";"Fluss in 1d-Dämpferwicklung in p.u.";"Fluss in 1q-Dämpferwicklung in p.u.";"Fluss in 2q-Dämpferwicklung in p.u.";"Spannung, d-Achse in p.u.";"Spannung, q-Achse in p.u.";"Subtransiente Spannung, d-Achse in p.u.";"Subtransiente Spannung, q-Achse in p.u.";"Erregerspannung in p.u.";"Konvertierungsfaktor (=xadu/rfd)"
0,009000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,010000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,011000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,012000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,013000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,014000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,015000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,016000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,017000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,018000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,019000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,020000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,021000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,022000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,023000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,024000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,025000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,026000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,027000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,028000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,029000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,030000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,031000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,032000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,033000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,034000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,035000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,036000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,037000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,038000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,039000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,040000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,041000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,042000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,043000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,044000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,045000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,046000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,047000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,048000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,049000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,050000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,051000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,052000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
0,053000;1,585024;1,515008;0,094976;0,000000;0,000000;0,000000;0,200000;0,200000;0,232064;0,320000;1,680000;1,609984;0,153727;0,419166;0,150343;0,452465;0,000797;0,025352;0,011315;0,012712;0,781250;0,781250;0,438645;0,483914;0,885151;0,000000;-0,000000;-0,000000;0,666061;-0,779094;0,753790;-0,682312;0,843793;0,707721;-0,733134;-0,733134;0,779094;0,666061;0,682312;0,753790;1,402985;1,988891
